Index;T_s;X;Y;Z;Unit_Pos
0;0.0000;-185.813700;2224.007000;-300.954800;mm
1;0.0500;-185.813700;2224.007000;-300.954100;mm
2;0.1000;-185.813900;2224.007000;-300.953200;mm
3;0.1500;-185.813700;2224.007000;-300.952400;mm
4;0.2000;-185.813900;2224.007000;-300.951200;mm
5;0.2500;-185.813900;2224.007000;-300.950800;mm
6;0.3000;-185.813900;2224.007000;-300.949600;mm
7;0.3500;-185.813900;2224.007000;-300.948600;mm
8;0.4000;-185.813900;2224.007000;-300.947900;mm
9;0.4500;-185.813900;2224.007000;-300.947200;mm
10;0.5000;-185.813900;2224.007000;-300.946700;mm
11;0.5500;-185.813900;2224.007000;-300.945500;mm
12;0.6000;-185.813900;2224.007000;-300.944300;mm
13;0.6500;-185.813900;2224.007000;-300.943800;mm
14;0.7000;-185.813900;2224.007000;-300.942700;mm
15;0.7500;-185.813900;2224.007000;-300.942000;mm
16;0.8000;-185.813900;2224.007000;-300.941200;mm
17;0.8500;-185.813900;2224.007000;-300.940300;mm
18;0.9000;-185.813900;2224.007000;-300.939100;mm
19;0.9500;-185.813900;2224.007000;-300.938100;mm
20;1.0000;-185.813900;2224.007000;-300.937700;mm
21;1.0500;-189.424800;2224.007000;-300.937000;mm
22;1.1000;-202.875900;2224.007000;-300.935700;mm
23;1.1500;-216.353700;2224.007000;-300.935000;mm
24;1.2000;-231.920500;2224.007000;-300.934500;mm
25;1.2500;-257.165900;2224.007000;-300.933300;mm
26;1.3000;-284.507300;2224.007000;-300.932400;mm
27;1.3500;-303.444900;2224.007000;-300.931700;mm
28;1.4000;-332.460200;2224.007000;-300.930500;mm
29;1.4500;-361.666400;2224.007000;-300.929300;mm
30;1.5000;-381.045300;2224.007000;-300.928800;mm
31;1.5500;-400.892000;2224.007000;-300.928100;mm
32;1.6000;-430.587500;2224.007000;-300.926900;mm
33;1.6500;-450.380600;2224.007000;-300.926200;mm
34;1.7000;-470.647100;2224.007000;-300.925500;mm
35;1.7500;-500.668800;2224.007000;-300.924300;mm
36;1.8000;-531.097700;2224.007000;-300.923300;mm
37;1.8500;-551.499100;2224.007000;-300.922600;mm
38;1.9000;-581.387800;2224.007000;-300.921400;mm
39;1.9500;-600.557600;2224.007000;-300.920700;mm
40;2.0000;-630.687500;2224.007000;-300.919800;mm
41;2.0500;-650.981700;2224.007000;-300.919100;mm
42;2.1000;-680.755900;2224.007000;-300.918100;mm
43;2.1500;-700.986100;2224.007000;-300.917400;mm
44;2.2000;-730.855700;2224.007000;-300.916200;mm
45;2.2500;-751.158000;2224.007000;-300.915700;mm
46;2.3000;-780.861600;2224.007000;-300.914500;mm
47;2.3500;-799.956100;2224.007000;-300.913600;mm
48;2.4000;-810.734500;2224.007000;-300.912600;mm
49;2.4500;-810.234100;2224.007000;-300.910900;mm
50;2.5000;-802.619900;2224.007000;-300.910200;mm
51;2.5500;-784.383500;2224.007000;-300.909100;mm
52;2.6000;-769.106600;2224.008000;-300.908100;mm
53;2.6500;-743.674500;2224.007000;-300.907100;mm
54;2.7000;-716.564400;2224.007000;-300.906200;mm
55;2.7500;-697.809000;2224.007000;-300.905500;mm
56;2.8000;-668.390500;2224.007000;-300.904500;mm
57;2.8500;-648.569800;2224.007000;-300.903800;mm
58;2.9000;-619.138000;2224.007000;-300.903100;mm
59;2.9500;-599.925300;2224.007000;-300.902400;mm
60;3.0000;-579.935800;2224.007000;-300.901600;mm
61;3.0500;-540.456300;2224.007000;-300.900500;mm
62;3.1000;-520.240500;2224.007000;-300.899700;mm
63;3.1500;-500.458300;2224.007000;-300.899300;mm
64;3.2000;-470.769900;2224.007000;-300.898300;mm
65;3.2500;-451.449600;2224.007000;-300.897800;mm
66;3.3000;-431.182600;2224.007000;-300.897100;mm
67;3.3500;-400.764700;2224.007000;-300.896200;mm
68;3.4000;-380.544400;2224.007000;-300.895700;mm
69;3.4500;-350.519700;2224.007000;-300.894500;mm
70;3.5000;-330.356600;2224.007000;-300.894000;mm
71;3.5500;-290.473400;2224.007000;-300.892800;mm
72;3.6000;-270.560000;2224.008000;-300.892100;mm
73;3.6500;-240.690500;2224.007000;-300.891200;mm
74;3.7000;-220.730500;2224.007000;-300.890700;mm
75;3.7500;-200.150300;2224.007000;-300.890000;mm
76;3.8000;-178.954800;2224.007000;-300.889000;mm
77;3.8500;-170.102800;2224.007000;-300.888500;mm
78;3.9000;-161.668800;2224.007000;-300.887600;mm
79;3.9500;-158.147600;2224.007000;-300.886600;mm
80;4.0000;-154.792300;2224.007000;-300.885700;mm
81;4.0500;-153.391600;2224.007000;-300.884900;mm
82;4.1000;-152.056900;2224.007000;-300.884000;mm
83;4.1500;-151.289200;2224.007000;-300.883100;mm
84;4.2000;-150.968800;2224.007000;-300.882600;mm
85;4.2500;-150.747100;2224.007000;-300.881600;mm
86;4.3000;-150.535800;2224.007000;-300.880700;mm
87;4.3500;-150.414500;2224.007000;-300.879500;mm
88;4.4000;-150.363700;2224.007000;-300.879000;mm
89;4.4500;-150.315500;2224.007000;-300.877800;mm
90;4.5000;-150.295500;2224.007000;-300.877300;mm
91;4.5500;-150.276200;2224.007000;-300.876100;mm
92;4.6000;-150.268100;2224.007000;-300.875700;mm
93;4.6500;-150.262400;2224.007000;-300.874700;mm
94;4.7000;-150.258500;2224.007000;-300.874200;mm
95;4.7500;-150.255000;2224.007000;-300.873000;mm
